Run NumNeurons Group meanFR meanCV
0 38556 all 4.1065 0.502
0 38556 2/3E 1.863 0.431
0 38556 2/3I 5.0226 0.5157
0 38556 4E 3.9934 0.5018
0 38556 4I 5.6852 0.5604
0 38556 5E 7.2728 0.5048
0 38556 5I 8.2727 0.5233
0 38556 6E 0.0014 
0 38556 6I 6.4336 0.4767
1 38556 all 3.5321 0.4961
1 38556 2/3E 1.4605 0.5082
1 38556 2/3I 4.3086 0.5067
1 38556 4E 4.0647 0.4843
1 38556 4I 5.3667 0.4712
1 38556 5E 5.9622 0.5275
1 38556 5I 7.8428 0.5087
1 38556 6E 0.0003 
1 38556 6I 6.1775 0.4664
2 38556 all 3.8666 0.5215
2 38556 2/3E 1.9216 0.5199
2 38556 2/3I 4.8059 0.5823
2 38556 4E 3.9312 0.4733
2 38556 4I 5.5222 0.5329
2 38556 5E 6.4987 0.5332
2 38556 5I 8.1045 0.5161
2 38556 6E 0.0006 
2 38556 6I 6.4024 0.4928
3 38556 all 4.0658 0.5215
3 38556 2/3E 2.0842 0.4493
3 38556 2/3I 5.2455 0.6403
3 38556 4E 3.9511 0.4909
3 38556 4I 5.6333 0.569
3 38556 5E 6.8871 0.5016
3 38556 5I 8.182 0.5075
3 38556 6E 0.0014 
3 38556 6I 6.4973 0.492
4 38556 all 3.8243 0.5086
4 38556 2/3E 1.8051 0.4762
4 38556 2/3I 4.9396 0.5653
4 38556 4E 3.942 0.4887
4 38556 4I 5.4333 0.5246
4 38556 5E 6.4695 0.5116
4 38556 5I 7.9686 0.5118
4 38556 6E 0.0011 
4 38556 6I 6.3293 0.4816
5 38556 all 3.755 0.5102
5 38556 2/3E 1.6996 0.5068
5 38556 2/3I 4.5576 0.5347
5 38556 4E 4.0091 0.4747
5 38556 4I 5.4667 0.5305
5 38556 5E 6.4073 0.5337
5 38556 5I 7.9912 0.5154
5 38556 6E 0.0014 
5 38556 6I 6.3062 0.4755
6 38556 all 3.9136 0.5227
6 38556 2/3E 1.7919 0.4726
6 38556 2/3I 4.9431 0.6234
6 38556 4E 4.0348 0.4959
6 38556 4I 5.5185 0.5219
6 38556 5E 6.7237 0.5352
6 38556 5I 8.1462 0.5172
6 38556 6E 0.0011 
